target,variants,category
Runbook,"런북,대응절차",개발/기술
Playbook,"플레이북,운영가이드",개발/기술
Postmortem,"포스트모템,사후분석",개발/기술
RCA,"알씨에이,근본원인분석",개발/기술
InfoSec,"인포섹,정보보안",개발/기술
IAM,"아이앰,계정권한관리",개발/기술
SSO,"에스에스오,단일로그인",개발/기술
MFA,"엠에프에이,다중인증,2FA",개발/기술
Pen Test,"팬테스트,침투테스트",개발/기술
SOC2,"쏙투,보안감사,SOC 2",개발/기술
ISO27001,"아이에스오27001,정보보호인증",개발/기술
GDPR,"지디피알,유럽개인정보보호",개발/기술
PII,"피아이아이,개인식별정보",개발/기술
PIPA,"피파,개인정보보호법",개발/기술
DLP,"디엘피,데이터유출방지",개발/기술
RTO,"알티오,복구시간목표",개발/기술
RPO,"알피오,복구시점목표",개발/기술
Osamari,"오사마리,정리",발음왜곡
Makeup,"메이크업,메컵,보완",발음왜곡
Security,"시큐리티,세커티",발음왜곡
Develop,"디벨롭,디벨럽",발음왜곡
Merge Check,"메리지체크,머지체크",발음왜곡
Reselect,"리셀,리실렉트",발음왜곡
Lock and,"락앤,락앤공유",발음왜곡
Patch up,"패치업,패트업,보완",발음왜곡
Recap,"리캡,요약",업무관리
DRI,"디알아이,직책임자",업무관리
Townhall,"타운홀,전사회의",업무관리
Offsite,"오프사이트,워크숍",업무관리
Cap Table,"캡테이블,지분구조",스타트업
North Star Metric,"노스스타메트릭,핵심지표",스타트업
Go-to-Market,"고투마켓,GTM",스타트업
Soft Launch,소프트런치,스타트업
CAC,"캑,고객획득비용",스타트업
LTV,"엘티브이,고객생애가치",스타트업
MAU,"엠에이유,월간활성",스타트업
DAU,"디에이유,일간활성",스타트업
CI/CD,"씨아이씨디,지속적통합배포",개발/기술
Monolith,모놀리스,개발/기술
Rollback,롤백,개발/기술
Feature Flag,"피처플래그,토글",개발/기술
Canary,카나리배포,개발/기술
Blue-Green,블루그린배포,개발/기술
Rate Limit,레이트리밋,개발/기술
Throttling,스로틀링,개발/기술
Load Test,로드테스트,개발/기술
Stress Test,스트레스테스트,개발/기술
Unit Test,유닛테스트,개발/기술
Integration Test,통합테스트,개발/기술
Regression Test,회귀테스트,개발/기술
Smoke Test,스모크테스트,개발/기술
E2E Test,엔드투엔드테스트,개발/기술
Staging,스테이징,개발/기술
Production,"프로덕션,운영환경",개발/기술
UAT,유저인수테스트,개발/기술
ELT,이에엘티,개발/기술
Data Lake,데이터레이크,개발/기술
Backfill,백필,개발/기술
Batch,배치,개발/기술
Streaming,스트리밍,개발/기술
Observability,옵저버빌리티,개발/기술
Logging,로깅,개발/기술
Tracing,트레이싱,개발/기술
Metrics,메트릭스,개발/기술
SRE,에스알이,개발/기술
SLA,에스엘에이,개발/기술
SLO,에스엘오,개발/기술
SLI,에스엘아이,개발/기술
Incident,"인시던트,장애",개발/기술
SEV,"세브,심각도",개발/기술
On-call,온콜,개발/기술
Runbook,런북,개발/기술
Playbook,플레이북,개발/기술
Postmortem,포스트모템,개발/기술
InfoSec,인포섹,개발/기술
IAM,"아이엠,계정권한관리",개발/기술
MFA,"엠에프에이,다중인증",개발/기술
SOC2,"쏙투,보안감사",개발/기술
ISO27001,아이에스오27001,개발/기술
GDPR,지디피알,개발/기술
PII,피아이아이,개인정보
Patch up,"패치업,패트업",발음왜곡
Osamari,오사마리,발음왜곡
Makeup,"메이크업,메컵",발음왜곡
Security,"세커티,시큐리티",발음왜곡
Merge Check,메리지체크,발음왜곡
Reselect,리셀,발음왜곡
Lock and,락앤,발음왜곡
